Salt,Exp_Density,Exp_Density_Std,Density_Reference,Exp_Cpt,Exp_Cpt_Std,Cpt_Reference
BAM.FOR,928,25,"Greaves, T. L.; Weerawardena, A.; Fong, C.; Krodkiewska, I.; Drummond, C. J. (2006) J. Phys. Chem. B 110(45), 22479-22487",,,
BMI.ACE,1052.6,6,"Safarov, J.; Geppert-Rybczynska, M.; Kul, I.; Hassel, E. (2014) Fluid Phase Equilib. 383, 144-155.",381,23,"Safarov, J.; Geppert-Rybczynska, M.; Kul, I.; Hassel, E. (2014) Fluid Phase Equilib. 383, 144-155."
BMI.TF2,1436.8,2.9,"Hamidova, R.; Kul, I.; Safarov, J.; Shahverdiyev, A.; Hassel, E. (2015) Braz. J. Chem. Eng. 32(1), 303-316.",531,54,"Gomez, E.; Calvar, N.; Dominguez, A.; Macedo, E. A. (2013) Ind. Eng. Chem. Res. 52, 2103-2110."
EMI.ACE,1099.3,2,"Freire, M. G.; Teles, A. R. R.; Rocha, M. A. A.; Schroder, B.; Neves, C. M. S. S.; Carvalho, P. J.; Evtuguin, D. V.; Santos, L. M. N. B. F.; Coutinho, J. A. P. (2011) J. Chem. Eng. Data 56(12), 4813-4822.",325.2,6.5,"Su, C.; Liu, X.; Zhu, C.; He, M. (2016) Fluid Phase Equilib. 427, 187-193."
EMI.ETS,1236.02,0.44,"Matkowska, D.; Hofman, T. (2012) J. Mol. Liq. 165, 161-167",378,26,"Zhang, Z.-H.; Tan, Z.-C.; Sun, L.-X.; Jia-Zhen, Y.; Lv, X.-C.; Shi, Q. (2006) Thermochim. Acta 447(2), 141-146."
EMI.TF2,1519.11,0.7,"Jacquemin, J.; Husson, P.; Majer, V.; Gomes, M. F. C. (2007) J. Solution Chem. 36, 967-979.",462,47,"Gomez, E.; Calvar, N.; Dominguez, A.; Macedo, E. A. (2013) Ind. Eng. Chem. Res. 52, 2103-2110."
EPY.ETS,1221.8,1.1,"Diogo, J. C. F.; Caetano, F. J. P.; Fareleira, J. M. N. A.; Wakeham, W. A. (2013) Fluid Phase Equilib. 353, 76-86.",389,39,"Crosthwaite, J. M.; Muldoon, M. J.; Dixon, J. K.; Anderson, J. L.; Brennecke, J. F. (2005) J. Chem. Thermodyn. 37(6), 559-568"
EPY.TF2,1488.54,0.66,"Gonzalez, E. J.; Gonzalez, B.; Macedo, E. A. (2015) J. Chem. Thermodyn. 86, 96-105.",491,50,"Calvar, N.; Gomez, E.; Macedo, E. A.; Dominguez, A. (2013) Thermochim. Acta 565, 178-82."
HMI.CHL,1042.2,0.98,"Yan, X.-J.; Li, S.-N.; Zhai, Q.-G.; Jiang, Y.-C.; Hu, M.-C. (2014) J. Chem. Eng. Data 59(5), 1411-1422.",,,
HMI.TF2,1372.4,1.7,"Safarov, J.; Hamidova, R.; Zepik, S.; Schmidt, H.; Kul, I.; Shahverdiyev, A.; Hassel, E. (2013) J. Mol. Liq. 187, 137-156.",635,11,"Archer, D. G. (2006) National Insitute of Standards and Technology Thermodynamic Properties of 1-hexyl-3-methylimidazolium bis (trifluoromethylsulfonyl)imide NISTIR No. 6645."
HPY.TF2,1394.2,1.7,"Oliveira, F. S.; Freire, M. G.; Carvalho, P. J.; Coutinho, J. A. P.; Lopes, J. N. C.; Rebelo, L. P. N.; Marrucho, I. M. (2010) J. Chem. Eng. Data 55(10), 4514-4520.",612,62,"Crosthwaite, J. M.; Muldoon, M. J.; Dixon, J. K.; Anderson, J. L.; Brennecke, J. F. (2005) J. Chem. Thermodyn. 37(6), 559-568."
OMI.CHL,1012,12,"Seddon, K. R.; Stark, A.; Torres, M.-J. (2002) ACS Symp. Ser. 819, 34-49.",445.2,4.6,"Yamamuro, O.; Yamada, T.; Kofu, M.; Nakakoshi, M.; Nagao, M. (2011) J. Chem. Phys. 135(5), 054508/1-054508/7."
OMI.TF2,1321,12,"Alonso, L.; Arce, A.; Francisco, M.; Soto, A. (2007) J. Chem. Eng. Data 52(6), 2409-2412.",654,66,"Crosthwaite, J. M.; Muldoon, M. J.; Dixon, J. K.; Anderson, J. L.; Brennecke, J. F. (2005) J. Chem. Thermodyn. 37(6), 559-568."
PAM.FOR,950,25,"Greaves, T. L.; Weerawardena, A.; Fong, C.; Krodkiewska, I.; Drummond, C. J. (2006) J. Phys. Chem. B 110(45), 22479-22487.",,,
PPY.TF2,1421,11,"Liu, Q.-S.; Yang, M.; Yan, P.-F.; Liu, X.-M.; Tan, Z.-C.; Welz-Biermann, U. (2010) J. Chem. Eng. Data 55(11), 4928-4930.",,,
